,n,male,female,unknown,date
1001,830.0,28.0,86.0,716.0,2020/02/27
1005,34521.0,5.0,4003.0,30513.0,2020/06/18
1006,2234.0,964.0,84.0,1186.0,2020/08/06
1008,1.0,0.0,1.0,0.0,01/26/2015
1012,148.0,64.0,53.0,31.0,2020/06/30
1013,529.0,194.0,335.0,0.0,01/22/2014
1016,7440.0,7440.0,0.0,0.0,08/29/2016
1018,136.0,9.0,127.0,0.0,2019/06/14
1020,54.0,30.0,24.0,0.0,06/17/2013
1021,43.0,7.0,3.0,33.0,01/05/2017
1022,5890.0,3771.0,541.0,1578.0,05/11/2016
1023,761.0,761.0,0.0,0.0,10/21/2015
1025,601.0,281.0,319.0,1.0,2019/09/26
1026,7479.0,3988.0,3491.0,0.0,04/12/2010
1028,13.0,7.0,6.0,0.0,05/02/2012
1031,6.0,3.0,3.0,0.0,2019/10/07
1033,2754.0,0.0,2754.0,0.0,2020/06/18
1034,476.0,316.0,152.0,8.0,2021/07/13
1036,26.0,19.0,7.0,0.0,2021/09/14
1037,1573.0,749.0,821.0,3.0,2018/05/14
1038,300.0,94.0,47.0,159.0,2018/11/19
1040,946.0,801.0,89.0,56.0,06/25/2015
1041,762.0,392.0,370.0,0.0,2020/07/17
1043,14.0,0.0,14.0,0.0,08/22/2016
1049,84.0,6.0,7.0,71.0,2018/07/18
1053,886.0,485.0,401.0,0.0,Tue Feb 26 18:05:10 2008
1054,74.0,30.0,44.0,0.0,05/26/2016
1057,143.0,0.0,143.0,0.0,2020/01/16
1059,22.0,13.0,9.0,0.0,2019/07/25
1061,1460.0,87.0,99.0,1274.0,2019/08/18
1062,28.0,15.0,13.0,0.0,08/26/2013
1065,13.0,7.0,6.0,0.0,2021/07/07
1069,20.0,0.0,20.0,0.0,09/10/2013
1070,12.0,0.0,12.0,0.0,2020/08/19
1072,28.0,8.0,7.0,13.0,08/21/2014
1077,25.0,13.0,12.0,0.0,2020/02/06
1078,704.0,54.0,85.0,565.0,2020/04/29
1081,37.0,1.0,2.0,34.0,2017/12/19
1083,1880.0,1059.0,821.0,0.0,2021/08/11
1086,121.0,114.0,7.0,0.0,2021/07/09
1087,19.0,19.0,0.0,0.0,2017/08/17
1090,82.0,8.0,8.0,66.0,2019/06/19
1094,611.0,168.0,443.0,0.0,2018/06/14
1095,198.0,50.0,30.0,118.0,2020/12/22
1096,1200.0,427.0,773.0,0.0,2018/11/05
1097,5418.0,2532.0,2823.0,63.0,2019/10/01
1100,109.0,21.0,13.0,75.0,02/27/2017
1102,91.0,54.0,37.0,0.0,05/17/2017
1104,18.0,15.0,3.0,0.0,09/18/2014
1105,38.0,0.0,19.0,19.0,08/25/2016
1108,9955.0,596.0,767.0,8592.0,08/14/2014
1109,354.0,81.0,273.0,0.0,2019/11/27
1112,993.0,894.0,99.0,0.0,02/18/2016
1113,337.0,252.0,83.0,2.0,2021/05/24
1115,31.0,20.0,11.0,0.0,2017/08/02
1121,298.0,100.0,182.0,16.0,2019/04/19
1122,424.0,214.0,210.0,0.0,2021/08/06
1123,9225.0,894.0,515.0,7816.0,2021/04/07
1124,53.0,25.0,6.0,22.0,2018/04/16
1128,395.0,73.0,95.0,227.0,10/27/2014
1129,339.0,0.0,35.0,304.0,2019/11/14
1131,266.0,129.0,137.0,0.0,Mon Jun 16 14:31:57 2008
1134,6.0,0.0,1.0,5.0,09/11/2014
1135,9335.0,4392.0,4943.0,0.0,2018/12/27
1136,859.0,497.0,362.0,0.0,07/18/2014
1139,10.0,10.0,0.0,0.0,2021/07/19
1140,340.0,177.0,163.0,0.0,2021/04/06
1141,2587.0,533.0,761.0,1293.0,2018/06/13
1142,424.0,214.0,210.0,0.0,2021/08/06
1143,1.0,0.0,1.0,0.0,01/05/2016
1144,14939.0,6783.0,8156.0,0.0,2020/06/18
