"ega_stable_id";"male";"female";"unknown";"total";"date_study";"repository"
"EGAS00001000256";"19";"13";"2370";"2402";"2012-03-20";"EGA"
"EGAS00001000257";"0";"0";"2339";"2339";"2012-03-20";"EGA"
"EGAS00001000260";"0";"0";"4";"4";"2012-03-22";"EGA"
"EGAS00001000261";"0";"0";"2";"2";"2012-03-22";"EGA"
"EGAS00001000262";"578";"0";"62";"640";"2012-03-23";"EGA"
"EGAS00001000263";"0";"0";"2321";"2321";"2012-03-26";"EGA"
"EGAS00001000264";"0";"0";"2";"2";"2012-03-26";"EGA"
"EGAS00001000266";"0";"0";"58";"58";"2012-03-26";"EGA"
"EGAS00001000267";"0";"0";"3";"3";"2012-03-26";"EGA"
"EGAS00001000268";"0";"0";"33";"33";"2012-03-29";"EGA"
"EGAS00001000269";"0";"0";"8";"8";"2012-03-29";"EGA"
"EGAS00001000271";"0";"0";"81";"81";"2012-04-17";"EGA"
"EGAS00001000272";"0";"0";"6";"6";"2012-04-17";"EGA"
"EGAS00001000273";"312";"192";"438";"942";"2012-04-20";"EGA"
"EGAS00001000274";"0";"0";"4";"4";"2012-04-23";"EGA"
"EGAS00001000275";"0";"0";"2736";"2736";"2012-04-25";"EGA"
"EGAS00001000276";"0";"0";"29";"29";"2012-04-26";"EGA"
"EGAS00001000278";"0";"0";"110";"110";"2012-05-02";"EGA"
"EGAS00001000280";"0";"0";"46";"46";"2012-05-02";"EGA"
"EGAS00001000282";"0";"0";"147";"147";"2012-05-02";"EGA"
"EGAS00001000283";"0";"0";"24";"24";"2012-05-15";"EGA"
"EGAS00001000284";"57";"19";"87";"163";"2012-05-29";"EGA"
"EGAS00001000285";"0";"0";"54";"54";"2012-05-30";"EGA"
"EGAS00001000286";"34";"35";"31";"100";"2012-05-30";"EGA"
"EGAS00001000287";"0";"0";"627";"627";"2012-05-30";"EGA"
"EGAS00001000288";"0";"0";"294";"294";"2012-05-31";"EGA"
"EGAS00001000289";"0";"0";"5";"5";"2012-06-08";"EGA"
"EGAS00001000290";"95";"163";"879";"1137";"2012-06-08";"EGA"
"EGAS00001000291";"0";"0";"83";"83";"2012-06-08";"EGA"
"EGAS00001000292";"0";"0";"1671";"1671";"2012-06-15";"EGA"
"EGAS00001000293";"0";"0";"1";"1";"2012-06-15";"EGA"
"EGAS00001000295";"0";"0";"20";"20";"2012-06-18";"EGA"
"EGAS00001000296";"0";"0";"128";"128";"2012-06-18";"EGA"
"EGAS00001000297";"0";"0";"81";"81";"2012-06-18";"EGA"
"EGAS00001000299";"0";"0";"44";"44";"2012-06-20";"EGA"
"EGAS00001000300";"0";"0";"135";"135";"2012-06-21";"EGA"
"EGAS00001000301";"0";"0";"12";"12";"2012-06-21";"EGA"
"EGAS00001000305";"0";"0";"7";"7";"2012-06-26";"EGA"
"EGAS00001000306";"0";"0";"136";"136";"2012-06-26";"EGA"
"EGAS00001000308";"0";"0";"485";"485";"2012-06-27";"EGA"
"EGAS00001000310";"0";"0";"95";"95";"2012-06-28";"EGA"
"EGAS00001000315";"0";"0";"7";"7";"2012-07-10";"EGA"
"EGAS00001000317";"0";"0";"95";"95";"2012-07-17";"EGA"
"EGAS00001000318";"0";"0";"28";"28";"2012-07-17";"EGA"
"EGAS00001000322";"0";"0";"9";"9";"2012-07-19";"EGA"
"EGAS00001000323";"0";"0";"2";"2";"2012-07-19";"EGA"
"EGAS00001000326";"881";"810";"51";"1742";"2012-08-01";"EGA"
"EGAS00001000327";"696";"682";"40";"1418";"2012-08-01";"EGA"
"EGAS00001000328";"0";"0";"2";"2";"2012-08-08";"EGA"
"EGAS00001000329";"0";"2";"1990";"1992";"2012-08-09";"EGA"
"EGAS00001000330";"0";"0";"3";"3";"2012-08-09";"EGA"
"EGAS00001000332";"0";"0";"6";"6";"2012-08-09";"EGA"
"EGAS00001000333";"0";"0";"4";"4";"2012-08-09";"EGA"
"EGAS00001000334";"0";"0";"186";"186";"2012-08-09";"EGA"
"EGAS00001000335";"0";"0";"78";"78";"2012-08-10";"EGA"
"EGAS00001000336";"0";"0";"193";"193";"2012-08-13";"EGA"
"EGAS00001000337";"0";"0";"13";"13";"2012-08-14";"EGA"
"EGAS00001000343";"0";"0";"14";"14";"2012-08-22";"EGA"
"EGAS00001000344";"0";"0";"8";"8";"2012-08-23";"EGA"
"EGAS00001000346";"0";"0";"1391";"1391";"2012-08-24";"EGA"
"EGAS00001000347";"0";"0";"1481";"1481";"2012-08-24";"EGA"
"EGAS00001000348";"0";"0";"2305";"2305";"2012-08-24";"EGA"
"EGAS00001000349";"0";"0";"2640";"2640";"2012-08-24";"EGA"
"EGAS00001000351";"81";"92";"1";"174";"2012-08-28";"EGA"
"EGAS00001000352";"0";"0";"28";"28";"2012-08-29";"EGA"
"EGAS00001000353";"0";"0";"232";"232";"2012-08-31";"EGA"
"EGAS00001000354";"0";"0";"15";"15";"2012-08-31";"EGA"
"EGAS00001000356";"0";"0";"16";"16";"2012-09-04";"EGA"
"EGAS00001000359";"0";"0";"4";"4";"2012-09-05";"EGA"
"EGAS00001000360";"0";"0";"3";"3";"2012-09-07";"EGA"
"EGAS00001000362";"0";"0";"20";"20";"2012-09-07";"EGA"
"EGAS00001000363";"39";"55";"6";"100";"2012-09-13";"EGA"
"EGAS00001000367";"0";"0";"47";"47";"2012-10-02";"EGA"
"EGAS00001000368";"0";"0";"406";"406";"2012-10-05";"EGA"
"EGAS00001000369";"0";"0";"114";"114";"2012-10-08";"EGA"
"EGAS00001000370";"0";"0";"3";"3";"2012-10-08";"EGA"
"EGAS00001000371";"12";"9";"0";"21";"2012-10-09";"EGA"
"EGAS00001000373";"0";"0";"10";"10";"2012-10-11";"EGA"
"EGAS00001000374";"0";"0";"168";"168";"2012-10-11";"EGA"
"EGAS00001000377";"0";"0";"203";"203";"2012-10-18";"EGA"
"EGAS00001000379";"0";"0";"2251";"2251";"2012-10-19";"EGA"
"EGAS00001000380";"0";"0";"2323";"2323";"2012-10-19";"EGA"
"EGAS00001000381";"0";"0";"275";"275";"2012-10-22";"EGA"
"EGAS00001000382";"0";"0";"11";"11";"2012-10-23";"EGA"
"EGAS00001000383";"612";"0";"72";"684";"2012-10-24";"EGA"
"EGAS00001000384";"0";"0";"68";"68";"2012-10-25";"EGA"
"EGAS00001000385";"0";"0";"10";"10";"2012-10-25";"EGA"
"EGAS00001000386";"0";"0";"477";"477";"2012-10-29";"EGA"
"EGAS00001000387";"0";"0";"15";"15";"2012-10-29";"EGA"
"EGAS00001000388";"0";"0";"5";"5";"2012-10-29";"EGA"
"EGAS00001000389";"298";"66";"692";"1056";"2012-10-31";"EGA"
"EGAS00001000390";"0";"0";"3";"3";"2012-10-31";"EGA"
"EGAS00001000392";"0";"0";"1003";"1003";"2012-11-01";"EGA"
"EGAS00001000393";"0";"0";"219";"219";"2012-11-07";"EGA"
"EGAS00001000394";"3";"0";"277";"280";"2012-11-08";"EGA"
"EGAS00001000395";"319";"170";"3124";"3613";"2012-11-19";"EGA"
"EGAS00001000397";"0";"21";"382";"403";"2012-11-27";"EGA"
"EGAS00001000398";"0";"0";"110";"110";"2012-11-30";"EGA"
"EGAS00001000399";"11";"9";"0";"20";"2012-12-02";"EGA"
"EGAS00001000400";"288";"0";"108";"396";"2012-12-04";"EGA"
"EGAS00001000402";"0";"0";"11";"11";"2012-12-06";"EGA"
"EGAS00001000403";"0";"0";"46";"46";"2012-12-14";"EGA"
"EGAS00001000404";"0";"0";"360";"360";"2012-12-14";"EGA"
"EGAS00001000405";"0";"0";"14";"14";"2012-12-14";"EGA"
"EGAS00001000406";"0";"0";"1036";"1036";"2012-12-14";"EGA"
"EGAS00001000407";"0";"0";"1213";"1213";"2012-12-14";"EGA"
"EGAS00001000408";"0";"0";"38";"38";"2012-12-14";"EGA"
"EGAS00001000409";"0";"0";"20";"20";"2012-12-14";"EGA"
"EGAS00001000410";"0";"0";"10";"10";"2012-12-14";"EGA"
"EGAS00001000413";"0";"0";"6";"6";"2013-01-15";"EGA"
"EGAS00001000415";"9";"5";"56";"70";"2013-01-17";"EGA"
"EGAS00001000416";"0";"0";"100";"100";"2013-01-21";"EGA"
"EGAS00001000417";"0";"0";"100";"100";"2013-01-21";"EGA"
"EGAS00001000418";"401";"343";"52";"796";"2013-01-22";"EGA"
"EGAS00001000419";"0";"0";"12";"12";"2013-01-28";"EGA"
"EGAS00001000420";"0";"0";"3";"3";"2013-01-28";"EGA"
"EGAS00001000421";"0";"0";"110";"110";"2013-01-30";"EGA"
"EGAS00001000423";"0";"0";"6";"6";"2013-02-01";"EGA"
"EGAS00001000425";"0";"0";"16";"16";"2013-02-04";"EGA"
"EGAS00001000426";"0";"0";"46";"46";"2013-02-05";"EGA"
"EGAS00001000427";"0";"0";"18";"18";"2013-02-05";"EGA"
"EGAS00001000428";"0";"0";"47";"47";"2013-02-05";"EGA"
"EGAS00001000429";"0";"0";"1";"1";"2013-02-06";"EGA"
"EGAS00001000430";"0";"0";"9";"9";"2013-02-13";"EGA"
"EGAS00001000433";"0";"0";"2";"2";"2013-02-15";"EGA"
"EGAS00001000434";"0";"0";"10";"10";"2013-02-15";"EGA"
"EGAS00001000435";"0";"0";"3";"3";"2013-02-15";"EGA"
"EGAS00001000436";"0";"0";"31";"31";"2013-02-15";"EGA"
"EGAS00001000437";"0";"0";"2";"2";"2013-02-18";"EGA"
"EGAS00001000439";"0";"0";"1";"1";"2013-02-22";"EGA"
"EGAS00001000441";"0";"0";"60";"60";"2013-02-25";"EGA"
"EGAS00001000442";"12";"18";"0";"30";"2013-02-27";"EGA"
"EGAS00001000443";"0";"0";"108";"108";"2013-02-28";"EGA"
"EGAS00001000446";"403";"369";"0";"772";"2013-03-07";"EGA"
"EGAS00001000447";"0";"0";"160";"160";"2013-03-11";"EGA"
"EGAS00001000449";"0";"0";"962";"962";"2013-03-12";"EGA"
"EGAS00001000451";"29";"22";"1";"52";"2013-03-13";"EGA"
"EGAS00001000453";"35";"22";"0";"57";"2013-03-13";"EGA"
"EGAS00001000455";"34";"98";"0";"132";"2013-03-15";"EGA"
"EGAS00001000458";"0";"0";"100";"100";"2013-03-20";"EGA"
